player,nationality,position,age,club,league,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
Wéverton,BRA,GK,35.0,Palmeiras,Brazilian League,35.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1,1.0,10.0,1.0
Gustavo Gómez,PAR,DF,29.0,Palmeiras,Brazilian League,30.7,59.0,28,33.0,22.0,4.0,34.0,59.0,57.6,25.0,24.0,12.0,12.0,28,87.0,110.0,1.0
Zé Rafael,BRA,MF,29.0,Palmeiras,Brazilian League,28.5,81.0,51,35.0,41.0,5.0,42.0,112.0,37.5,70.0,31.0,5.0,26.0,23,104.0,23.0,0.0
Raphael Veiga,BRA,MF,27.0,Palmeiras,Brazilian League,27.3,27.0,13,10.0,12.0,5.0,10.0,28.0,35.7,18.0,12.0,0.0,12.0,7,34.0,17.0,0.0
Joaquín Piquerez,URU,DF,24.0,Palmeiras,Brazilian League,28.1,45.0,33,21.0,18.0,6.0,27.0,63.0,42.9,36.0,35.0,6.0,29.0,29,74.0,47.0,0.0
Mayke,BRA,"DF,FW",30.0,Palmeiras,Brazilian League,27.8,53.0,31,24.0,23.0,6.0,29.0,42.0,69.0,13.0,28.0,8.0,20.0,43,96.0,37.0,0.0
Murilo Cerqueira,BRA,DF,25.0,Palmeiras,Brazilian League,24.1,29.0,21,15.0,13.0,1.0,16.0,29.0,55.2,13.0,25.0,17.0,8.0,28,57.0,79.0,0.0
Artur,BRA,FW,24.0,Palmeiras,Brazilian League,21.1,19.0,10,10.0,6.0,3.0,10.0,36.0,27.8,26.0,22.0,0.0,22.0,7,26.0,14.0,0.0
Luan Garcia,BRA,DF,29.0,Palmeiras,Brazilian League,20.2,12.0,6,6.0,5.0,1.0,6.0,12.0,50.0,6.0,22.0,19.0,3.0,26,38.0,67.0,0.0
Gabriel Menino,BRA,MF,22.0,Palmeiras,Brazilian League,17.7,37.0,24,18.0,15.0,4.0,18.0,43.0,41.9,25.0,28.0,4.0,24.0,15,52.0,14.0,0.0
Richard Ríos,COL,MF,22.0,Palmeiras,Brazilian League,20.6,45.0,33,19.0,21.0,5.0,19.0,59.0,32.2,40.0,39.0,3.0,36.0,19,64.0,23.0,1.0
Rony,BRA,FW,27.0,Palmeiras,Brazilian League,18.2,9.0,8,3.0,5.0,1.0,2.0,10.0,20.0,8.0,8.0,1.0,7.0,2,11.0,12.0,0.0
Endrick,BRA,FW,16.0,Palmeiras,Brazilian League,17.3,14.0,6,3.0,7.0,4.0,1.0,11.0,9.1,10.0,8.0,1.0,7.0,1,15.0,5.0,0.0
Marcos Rocha,BRA,DF,34.0,Palmeiras,Brazilian League,14.0,38.0,24,19.0,14.0,5.0,15.0,31.0,48.4,16.0,14.0,3.0,11.0,8,46.0,23.0,0.0
Breno,BRA,FW,27.0,Palmeiras,Brazilian League,15.2,17.0,11,4.0,9.0,4.0,7.0,13.0,53.8,6.0,8.0,0.0,8.0,4,21.0,3.0,0.0
Dudu,BRA,FW,31.0,Palmeiras,Brazilian League,12.0,5.0,4,2.0,2.0,1.0,3.0,10.0,30.0,7.0,7.0,0.0,7.0,6,11.0,1.0,0.0
Vanderlan,BRA,DF,20.0,Palmeiras,Brazilian League,10.1,29.0,18,23.0,4.0,2.0,13.0,16.0,81.3,3.0,7.0,1.0,6.0,12,41.0,23.0,0.0
Jhonatan Jowjow,BRA,"MF,FW",20.0,Palmeiras,Brazilian League,9.9,19.0,15,8.0,6.0,5.0,5.0,17.0,29.4,12.0,19.0,3.0,16.0,9,28.0,11.0,0.0
José López,ARG,"FW,MF",22.0,Palmeiras,Brazilian League,6.6,9.0,4,1.0,4.0,4.0,1.0,10.0,10.0,9.0,5.0,1.0,4.0,4,13.0,13.0,0.0
Kaiky Naves,BRA,"DF,FW",20.0,Palmeiras,Brazilian League,5.8,14.0,9,6.0,8.0,0.0,11.0,16.0,68.8,5.0,10.0,6.0,4.0,4,18.0,17.0,0.0
Luis Guilherme,BRA,"FW,MF",16.0,Palmeiras,Brazilian League,6.4,3.0,1,0.0,0.0,3.0,1.0,10.0,10.0,9.0,4.0,0.0,4.0,6,9.0,2.0,0.0
Fabinho,BRA,MF,20.0,Palmeiras,Brazilian League,6.5,25.0,20,6.0,14.0,5.0,11.0,18.0,61.1,7.0,11.0,4.0,7.0,7,32.0,8.0,0.0
García,BRA,DF,21.0,Palmeiras,Brazilian League,3.3,4.0,1,3.0,1.0,0.0,1.0,2.0,50.0,1.0,3.0,0.0,3.0,3,7.0,7.0,0.0
Marcelo Lomba,BRA,GK,36.0,Palmeiras,Brazilian League,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0
Kevin,BRA,"FW,DF",20.0,Palmeiras,Brazilian League,2.6,6.0,4,4.0,1.0,1.0,4.0,5.0,80.0,1.0,2.0,0.0,2.0,3,9.0,2.0,0.0
Jailson Siqueira,BRA,"MF,DF",27.0,Palmeiras,Brazilian League,1.8,4.0,3,1.0,2.0,1.0,2.0,5.0,40.0,3.0,1.0,0.0,1.0,2,6.0,3.0,0.0
Rafael Navarro,BRA,FW,22.0,Palmeiras,Brazilian League,1.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1,1.0,1.0,0.0
Bruno Tabata,BRA,"MF,FW",25.0,Palmeiras,Brazilian League,1.4,1.0,1,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0,1.0,2.0,0.0
Ian Custódio,BRA,DF,19.0,Palmeiras,Brazilian League,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Giovani,BRA,FW,19.0,Palmeiras,Brazilian League,0.2,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
Estevão,BRA,DF,16.0,Palmeiras,Brazilian League,0.1,1.0,1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0,1.0,0.0,0.0
Eduard Atuesta,COL,MF,25.0,Palmeiras,Brazilian League,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Kauan Santos,BRA,FW,18.0,Palmeiras,Brazilian League,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Luis Suárez,URU,FW,36.0,Grêmio,Brazilian League,32.0,10.0,5,2.0,2.0,6.0,4.0,20.0,20.0,16.0,9.0,2.0,7.0,4,14.0,5.0,0.0
Gabriel Chapecó,BRA,GK,22.0,Grêmio,Brazilian League,31.0,1.0,0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,1,2.0,9.0,2.0
Franco Cristaldo,ARG,"MF,FW",26.0,Grêmio,Brazilian League,23.7,33.0,18,13.0,15.0,5.0,17.0,52.0,32.7,35.0,31.0,0.0,31.0,12,45.0,7.0,0.0
Reinaldo,BRA,DF,33.0,Grêmio,Brazilian League,29.8,41.0,21,18.0,17.0,6.0,26.0,42.0,61.9,16.0,20.0,5.0,15.0,16,57.0,74.0,0.0
Mathías Villasanti,PAR,MF,26.0,Grêmio,Brazilian League,29.4,94.0,58,46.0,37.0,11.0,42.0,115.0,36.5,73.0,47.0,11.0,36.0,34,128.0,48.0,0.0
Walter Kannemann,ARG,DF,31.0,Grêmio,Brazilian League,26.2,50.0,33,30.0,18.0,2.0,27.0,52.0,51.9,25.0,36.0,16.0,20.0,45,95.0,116.0,0.0
Bruno Fabiano Alves,BRA,DF,31.0,Grêmio,Brazilian League,27.2,31.0,17,15.0,15.0,1.0,12.0,20.0,60.0,8.0,42.0,26.0,16.0,29,60.0,110.0,0.0
João Pedro,BRA,DF,26.0,Grêmio,Brazilian League,23.1,34.0,17,15.0,15.0,4.0,14.0,32.0,43.8,18.0,24.0,8.0,16.0,13,47.0,45.0,1.0
Felipe Carballo,URU,MF,26.0,Grêmio,Brazilian League,17.1,31.0,16,13.0,16.0,2.0,14.0,49.0,28.6,35.0,14.0,2.0,12.0,18,49.0,22.0,1.0
Bitelo,BRA,"MF,FW",23.0,Grêmio,Brazilian League,17.2,29.0,21,14.0,11.0,4.0,15.0,39.0,38.5,24.0,26.0,6.0,20.0,20,49.0,12.0,0.0
Bruno Uvini,BRA,DF,31.0,Grêmio,Brazilian League,16.1,16.0,11,11.0,4.0,1.0,10.0,19.0,52.6,9.0,28.0,19.0,9.0,22,38.0,67.0,0.0
João Pedro Pepê,BRA,MF,25.0,Grêmio,Brazilian League,15.5,41.0,31,24.0,15.0,2.0,16.0,34.0,47.1,18.0,15.0,6.0,9.0,16,57.0,26.0,0.0
Fábio,BRA,"DF,MF",32.0,Grêmio,Brazilian League,9.7,26.0,18,14.0,10.0,2.0,13.0,35.0,37.1,22.0,12.0,5.0,7.0,9,35.0,27.0,0.0
João Pedro,ITA,FW,30.0,Grêmio,Brazilian League,6.8,5.0,4,1.0,3.0,1.0,1.0,5.0,20.0,4.0,7.0,2.0,5.0,4,9.0,7.0,0.0
Everton,BRA,"FW,MF",25.0,Grêmio,Brazilian League,13.5,14.0,7,3.0,10.0,1.0,6.0,21.0,28.6,15.0,10.0,3.0,7.0,12,26.0,7.0,0.0
Rodrigo Ely,BRA,DF,29.0,Grêmio,Brazilian League,7.4,6.0,2,5.0,1.0,0.0,1.0,2.0,50.0,1.0,6.0,6.0,0.0,3,9.0,46.0,0.0
Vinícius,BRA,FW,31.0,Grêmio,Brazilian League,7.3,3.0,1,1.0,2.0,0.0,2.0,10.0,20.0,8.0,5.0,0.0,5.0,7,10.0,5.0,0.0
Nathan,BRA,"MF,FW",26.0,Grêmio,Brazilian League,7.6,11.0,6,4.0,3.0,4.0,3.0,10.0,30.0,7.0,15.0,2.0,13.0,8,19.0,6.0,0.0
