player,nationality,position,age,club,league,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
Wéverton,BRA,GK,35,Palmeiras,Brazilian League,35.0,1255.0,1011.0,1240.0,15.0,0.0,0.0,1255.0,0.0,0.0,0.0,0.0,0.0,714.0,3786.0,2327.0,0.0,0.0,0.0,0.0,0.0,596.0,0.0
Gustavo Gómez,PAR,DF,29,Palmeiras,Brazilian League,30.7,1960.0,179.0,863.0,989.0,119.0,61.0,1960.0,6.0,5.0,83.3,1.0,16.7,1121.0,5117.0,2906.0,13.0,11.0,1.0,15.0,2.0,1300.0,19.0
Zé Rafael,BRA,MF,29,Palmeiras,Brazilian League,28.5,1500.0,47.0,278.0,998.0,252.0,26.0,1500.0,70.0,30.0,42.9,31.0,44.3,855.0,5053.0,2764.0,42.0,37.0,4.0,35.0,25.0,948.0,39.0
Raphael Veiga,BRA,MF,27,Palmeiras,Brazilian League,27.3,1472.0,20.0,114.0,676.0,702.0,55.0,1470.0,64.0,30.0,46.9,27.0,42.2,833.0,5119.0,2680.0,80.0,72.0,9.0,36.0,22.0,983.0,121.0
Joaquín Piquerez,URU,DF,24,Palmeiras,Brazilian League,28.1,1810.0,77.0,447.0,852.0,536.0,34.0,1809.0,43.0,17.0,39.5,23.0,53.5,979.0,4981.0,2675.0,55.0,39.0,6.0,38.0,17.0,1073.0,163.0
Mayke,BRA,"DF,FW",30,Palmeiras,Brazilian League,27.8,1889.0,61.0,484.0,890.0,525.0,41.0,1889.0,29.0,15.0,51.7,14.0,48.3,1128.0,5433.0,2762.0,56.0,45.0,9.0,32.0,16.0,1227.0,170.0
Murilo Cerqueira,BRA,DF,25,Palmeiras,Brazilian League,24.1,1470.0,165.0,736.0,708.0,36.0,16.0,1470.0,8.0,6.0,75.0,1.0,12.5,862.0,4310.0,2383.0,14.0,7.0,1.0,3.0,2.0,1021.0,1.0
Artur,BRA,FW,24,Palmeiras,Brazilian League,21.1,1037.0,13.0,106.0,410.0,537.0,90.0,1037.0,60.0,35.0,58.3,23.0,38.3,671.0,4387.0,2391.0,85.0,57.0,23.0,52.0,18.0,792.0,218.0
Luan Garcia,BRA,DF,29,Palmeiras,Brazilian League,20.2,1208.0,134.0,530.0,645.0,35.0,22.0,1208.0,8.0,7.0,87.5,1.0,12.5,748.0,3489.0,1952.0,12.0,6.0,0.0,9.0,2.0,818.0,0.0
Gabriel Menino,BRA,MF,22,Palmeiras,Brazilian League,17.7,1334.0,20.0,222.0,795.0,324.0,15.0,1334.0,28.0,13.0,46.4,10.0,35.7,791.0,4356.0,2344.0,44.0,35.0,3.0,24.0,18.0,950.0,54.0
Richard Ríos,COL,MF,22,Palmeiras,Brazilian League,20.6,1073.0,24.0,178.0,615.0,303.0,26.0,1073.0,62.0,46.0,74.2,11.0,17.7,603.0,3383.0,1563.0,41.0,27.0,9.0,46.0,34.0,655.0,67.0
Rony,BRA,FW,27,Palmeiras,Brazilian League,18.2,405.0,14.0,32.0,118.0,256.0,86.0,405.0,18.0,6.0,33.3,10.0,55.6,225.0,1124.0,383.0,17.0,4.0,8.0,35.0,10.0,304.0,99.0
Endrick,BRA,FW,16,Palmeiras,Brazilian League,17.3,570.0,6.0,21.0,262.0,300.0,72.0,569.0,74.0,34.0,45.9,35.0,47.3,383.0,2896.0,1501.0,58.0,38.0,27.0,58.0,21.0,437.0,100.0
Marcos Rocha,BRA,DF,34,Palmeiras,Brazilian League,14.0,1168.0,54.0,379.0,607.0,197.0,6.0,1168.0,16.0,11.0,68.8,5.0,31.3,625.0,3083.0,1900.0,20.0,11.0,3.0,7.0,3.0,730.0,31.0
Breno,BRA,FW,27,Palmeiras,Brazilian League,15.2,498.0,1.0,44.0,191.0,271.0,68.0,498.0,26.0,8.0,30.8,11.0,42.3,331.0,2344.0,1247.0,44.0,30.0,14.0,16.0,12.0,371.0,110.0
Dudu,BRA,FW,31,Palmeiras,Brazilian League,12.0,556.0,2.0,42.0,210.0,315.0,56.0,556.0,68.0,41.0,60.3,19.0,27.9,390.0,3494.0,2066.0,78.0,51.0,28.0,24.0,11.0,429.0,127.0
Vanderlan,BRA,DF,20,Palmeiras,Brazilian League,10.1,472.0,26.0,156.0,179.0,143.0,17.0,472.0,23.0,12.0,52.2,9.0,39.1,216.0,1166.0,549.0,20.0,11.0,6.0,8.0,8.0,246.0,61.0
Jhonatan Jowjow,BRA,"MF,FW",20,Palmeiras,Brazilian League,9.9,426.0,11.0,63.0,204.0,167.0,23.0,426.0,35.0,20.0,57.1,12.0,34.3,217.0,1265.0,522.0,16.0,7.0,6.0,17.0,24.0,262.0,37.0
José López,ARG,"FW,MF",22,Palmeiras,Brazilian League,6.6,238.0,13.0,32.0,104.0,106.0,36.0,238.0,19.0,11.0,57.9,7.0,36.8,130.0,760.0,293.0,13.0,9.0,2.0,12.0,11.0,169.0,36.0
Kaiky Naves,BRA,"DF,FW",20,Palmeiras,Brazilian League,5.8,316.0,36.0,167.0,148.0,4.0,2.0,316.0,1.0,1.0,100.0,0.0,0.0,169.0,749.0,388.0,2.0,2.0,0.0,1.0,1.0,197.0,0.0
Luis Guilherme,BRA,"FW,MF",16,Palmeiras,Brazilian League,6.4,335.0,4.0,30.0,156.0,155.0,18.0,335.0,43.0,22.0,51.2,11.0,25.6,233.0,2020.0,1094.0,35.0,32.0,8.0,18.0,13.0,244.0,54.0
Fabinho,BRA,MF,20,Palmeiras,Brazilian League,6.5,391.0,13.0,76.0,250.0,66.0,4.0,391.0,9.0,3.0,33.3,4.0,44.4,220.0,1017.0,541.0,8.0,4.0,0.0,12.0,2.0,252.0,7.0
García,BRA,DF,21,Palmeiras,Brazilian League,3.3,210.0,7.0,74.0,93.0,43.0,2.0,210.0,2.0,2.0,100.0,0.0,0.0,114.0,528.0,313.0,5.0,2.0,1.0,3.0,2.0,123.0,11.0
Marcelo Lomba,BRA,GK,36,Palmeiras,Brazilian League,3.0,110.0,99.0,109.0,1.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,55.0,290.0,203.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0
Kevin,BRA,"FW,DF",20,Palmeiras,Brazilian League,2.6,124.0,1.0,17.0,48.0,62.0,12.0,124.0,22.0,10.0,45.5,9.0,40.9,84.0,731.0,405.0,14.0,13.0,4.0,7.0,6.0,84.0,22.0
