player,nationality,position,age,club,league,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
Wéverton,BRA,GK,35,Palmeiras,Brazilian League,35.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Gustavo Gómez,PAR,DF,29,Palmeiras,Brazilian League,30.7,2,25,6.0,24.0,0.82,0.2,0.08,0.33,10.9,0.0,0,0,2.2,2.2,0.09,-0.2,-0.2
Zé Rafael,BRA,MF,29,Palmeiras,Brazilian League,28.5,3,35,11.0,31.4,1.23,0.39,0.09,0.27,21.3,2.0,0,0,2.1,2.1,0.06,0.9,0.9
Raphael Veiga,BRA,MF,27,Palmeiras,Brazilian League,27.3,9,86,31.0,36.0,3.16,1.14,0.09,0.26,23.1,13.0,1,2,7.2,5.7,0.07,1.8,2.3
Joaquín Piquerez,URU,DF,24,Palmeiras,Brazilian League,28.1,3,32,6.0,18.8,1.14,0.21,0.06,0.33,26.1,3.0,1,1,2.0,1.3,0.04,1.0,0.7
Mayke,BRA,"DF,FW",30,Palmeiras,Brazilian League,27.8,1,8,2.0,25.0,0.29,0.07,0.13,0.5,17.7,0.0,0,0,0.9,0.9,0.11,0.1,0.1
Murilo Cerqueira,BRA,DF,25,Palmeiras,Brazilian League,24.1,3,12,7.0,58.3,0.5,0.29,0.25,0.43,11.1,0.0,0,0,1.0,1.0,0.08,2.0,2.0
Artur,BRA,FW,24,Palmeiras,Brazilian League,21.1,5,47,17.0,36.2,2.23,0.81,0.11,0.29,16.8,1.0,0,0,5.0,5.0,0.11,0.0,0.0
Luan Garcia,BRA,DF,29,Palmeiras,Brazilian League,20.2,1,19,6.0,31.6,0.94,0.3,0.05,0.17,10.5,0.0,0,0,1.9,1.9,0.1,-0.9,-0.9
Gabriel Menino,BRA,MF,22,Palmeiras,Brazilian League,17.7,2,34,7.0,20.6,1.92,0.4,0.06,0.29,25.2,3.0,0,0,1.7,1.7,0.05,0.3,0.3
Richard Ríos,COL,MF,22,Palmeiras,Brazilian League,20.6,2,38,10.0,26.3,1.85,0.49,0.05,0.2,25.2,1.0,0,0,1.2,1.2,0.03,0.8,0.8
Rony,BRA,FW,27,Palmeiras,Brazilian League,18.2,5,51,18.0,35.3,2.8,0.99,0.1,0.28,13.1,1.0,0,0,6.1,6.1,0.12,-1.1,-1.1
Endrick,BRA,FW,16,Palmeiras,Brazilian League,17.3,11,49,25.0,51.0,2.83,1.44,0.22,0.44,17.4,1.0,0,1,8.1,7.3,0.15,2.9,3.7
Marcos Rocha,BRA,DF,34,Palmeiras,Brazilian League,14.0,1,4,1.0,25.0,0.28,0.07,0.25,1.0,19.7,0.0,0,0,0.4,0.4,0.09,0.6,0.6
Breno,BRA,FW,27,Palmeiras,Brazilian League,15.2,5,49,24.0,49.0,3.23,1.58,0.1,0.21,14.8,0.0,0,0,6.8,6.8,0.14,-1.8,-1.8
Dudu,BRA,FW,31,Palmeiras,Brazilian League,12.0,3,35,10.0,28.6,2.93,0.84,0.09,0.3,19.0,0.0,0,0,2.4,2.4,0.07,0.6,0.6
Vanderlan,BRA,DF,20,Palmeiras,Brazilian League,10.1,0,6,1.0,16.7,0.59,0.1,0.0,0.0,18.4,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3
Jhonatan Jowjow,BRA,"MF,FW",20,Palmeiras,Brazilian League,9.9,0,12,6.0,50.0,1.21,0.61,0.0,0.0,16.0,1.0,0,0,1.2,1.2,0.1,-1.2,-1.2
José López,ARG,"FW,MF",22,Palmeiras,Brazilian League,6.6,5,22,10.0,45.5,3.35,1.52,0.23,0.5,13.7,0.0,0,0,3.5,3.5,0.16,1.5,1.5
Kaiky Naves,BRA,"DF,FW",20,Palmeiras,Brazilian League,5.8,0,2,0.0,0.0,0.34,0.0,0.0,0.0,9.3,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1
Luis Guilherme,BRA,"FW,MF",16,Palmeiras,Brazilian League,6.4,0,15,3.0,20.0,2.34,0.47,0.0,0.0,21.4,0.0,0,0,0.7,0.7,0.05,-0.7,-0.7
Fabinho,BRA,MF,20,Palmeiras,Brazilian League,6.5,0,6,1.0,16.7,0.92,0.15,0.0,0.0,18.4,0.0,0,0,0.7,0.7,0.11,-0.7,-0.7
García,BRA,DF,21,Palmeiras,Brazilian League,3.3,0,2,0.0,0.0,0.61,0.0,0.0,0.0,23.4,0.0,0,0,0.0,0.0,0.02,0.0,0.0
Marcelo Lomba,BRA,GK,36,Palmeiras,Brazilian League,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Kevin,BRA,"FW,DF",20,Palmeiras,Brazilian League,2.6,0,6,1.0,16.7,2.33,0.39,0.0,0.0,18.2,0.0,0,0,0.6,0.6,0.1,-0.6,-0.6
Jailson Siqueira,BRA,"MF,DF",27,Palmeiras,Brazilian League,1.8,0,4,1.0,25.0,2.21,0.55,0.0,0.0,19.4,0.0,0,0,0.4,0.4,0.09,-0.4,-0.4
Rafael Navarro,BRA,FW,22,Palmeiras,Brazilian League,1.4,1,4,2.0,50.0,2.88,1.44,0.25,0.5,8.2,0.0,0,0,1.2,1.2,0.3,-0.2,-0.2
Bruno Tabata,BRA,"MF,FW",25,Palmeiras,Brazilian League,1.4,0,4,0.0,0.0,2.9,0.0,0.0,0.0,17.7,0.0,0,0,0.4,0.4,0.09,-0.4,-0.4
Ian Custódio,BRA,DF,19,Palmeiras,Brazilian League,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Giovani,BRA,FW,19,Palmeiras,Brazilian League,0.2,0,1,0.0,0.0,6.0,0.0,0.0,0.0,14.0,0.0,0,0,0.1,0.1,0.08,-0.1,-0.1
Estevão,BRA,DF,16,Palmeiras,Brazilian League,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Eduard Atuesta,COL,MF,25,Palmeiras,Brazilian League,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Kauan Santos,BRA,FW,18,Palmeiras,Brazilian League,0.0,0,1,0.0,0.0,45.0,0.0,0.0,0.0,20.9,0.0,0,0,0.0,0.0,0.04,0.0,0.0
Luis Suárez,URU,FW,36,Grêmio,Brazilian League,32.0,17,126,54.0,42.9,3.94,1.69,0.13,0.3,17.6,12.0,1,2,13.8,12.2,0.1,3.2,3.8
Gabriel Chapecó,BRA,GK,22,Grêmio,Brazilian League,31.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Franco Cristaldo,ARG,"MF,FW",26,Grêmio,Brazilian League,23.7,8,37,19.0,51.4,1.56,0.8,0.14,0.26,19.1,1.0,3,4,6.6,3.6,0.1,1.4,1.4
Reinaldo,BRA,DF,33,Grêmio,Brazilian League,29.8,2,31,14.0,45.2,1.04,0.47,0.03,0.07,21.8,2.0,1,1,2.7,1.9,0.06,-0.7,-0.9
Mathías Villasanti,PAR,MF,26,Grêmio,Brazilian League,29.4,4,19,9.0,47.4,0.65,0.31,0.21,0.44,19.0,0.0,0,0,1.6,1.6,0.08,2.4,2.4
Walter Kannemann,ARG,DF,31,Grêmio,Brazilian League,26.2,0,10,4.0,40.0,0.38,0.15,0.0,0.0,13.6,0.0,0,0,1.0,1.0,0.1,-1.0,-1.0
Bruno Fabiano Alves,BRA,DF,31,Grêmio,Brazilian League,27.2,0,9,1.0,11.1,0.33,0.04,0.0,0.0,10.5,0.0,0,0,0.5,0.5,0.06,-0.5,-0.5
João Pedro,BRA,DF,26,Grêmio,Brazilian League,23.1,3,12,4.0,33.3,0.52,0.17,0.25,0.75,20.6,0.0,0,0,0.7,0.7,0.06,2.3,2.3
Felipe Carballo,URU,MF,26,Grêmio,Brazilian League,17.1,1,19,5.0,26.3,1.11,0.29,0.05,0.2,16.8,0.0,0,0,1.5,1.5,0.08,-0.5,-0.5
Bitelo,BRA,"MF,FW",23,Grêmio,Brazilian League,17.2,4,31,7.0,22.6,1.8,0.41,0.13,0.57,18.8,1.0,0,0,3.6,3.6,0.12,0.4,0.4
Bruno Uvini,BRA,DF,31,Grêmio,Brazilian League,16.1,1,14,6.0,42.9,0.87,0.37,0.07,0.17,11.4,0.0,0,0,0.8,0.8,0.06,0.2,0.2
João Pedro Pepê,BRA,MF,25,Grêmio,Brazilian League,15.5,1,9,2.0,22.2,0.58,0.13,0.11,0.5,21.7,0.0,0,0,1.1,1.1,0.12,-0.1,-0.1
Fábio,BRA,"DF,MF",32,Grêmio,Brazilian League,9.7,0,6,0.0,0.0,0.62,0.0,0.0,0.0,18.5,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2
João Pedro,ITA,FW,30,Grêmio,Brazilian League,6.8,0,10,1.0,10.0,1.46,0.15,0.0,0.0,12.8,0.0,0,0,1.0,1.0,0.1,-1.0,-1.0
Everton,BRA,"FW,MF",25,Grêmio,Brazilian League,13.5,6,38,14.0,36.8,2.82,1.04,0.16,0.43,22.6,0.0,0,0,3.5,3.5,0.09,2.5,2.5
Rodrigo Ely,BRA,DF,29,Grêmio,Brazilian League,7.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Vinícius,BRA,FW,31,Grêmio,Brazilian League,7.3,1,14,5.0,35.7,1.93,0.69,0.07,0.2,19.8,0.0,0,0,1.9,1.9,0.13,-0.9,-0.9
Nathan,BRA,"MF,FW",26,Grêmio,Brazilian League,7.6,1,18,6.0,33.3,2.37,0.79,0.06,0.17,21.3,1.0,0,0,1.1,1.1,0.06,-0.1,-0.1
Ferreira,BRA,"FW,MF",25,Grêmio,Brazilian League,12.7,4,28,11.0,39.3,2.2,0.86,0.14,0.36,18.0,1.0,0,0,3.0,3.0,0.11,1.0,1.0
Pedro Geromel,BRA,DF,37,Grêmio,Brazilian League,5.2,0,1,0.0,0.0,0.19,0.0,0.0,0.0,11.6,0.0,0,0,0.0,0.0,0.03,0.0,0.0
Gustavo Martins Santos,BRA,"DF,MF",20,Grêmio,Brazilian League,7.7,1,7,3.0,42.9,0.91,0.39,0.14,0.33,9.5,0.0,0,0,1.0,1.0,0.15,0.0,0.0
Cuiabano,BRA,"DF,MF",19,Grêmio,Brazilian League,5.4,1,10,5.0,50.0,1.84,0.92,0.1,0.2,19.8,0.0,0,0,0.7,0.7,0.07,0.3,0.3
Ronald,BRA,MF,19,Grêmio,Brazilian League,4.6,1,4,1.0,25.0,0.86,0.22,0.25,1.0,9.9,0.0,0,0,0.6,0.6,0.14,0.4,0.4
Lucas Besozzi,ARG,"FW,MF",20,Grêmio,Brazilian League,4.4,1,6,5.0,83.3,1.35,1.13,0.17,0.2,18.6,0.0,0,0,0.3,0.3,0.05,0.7,0.7
