player,nationality,position,age,club,league,minutes_90s,GA,PK_scored,FK_scored,CK_scored,OG,psxg,psxg_per_sot,psxg_net,psxg_net90,launched_c,launched,launched_pct,passes,throws,launch_pct,avg_len,gk,gk_launched,gk_avg_len,crosses,crosses_stopped,crosses_stopped_pct,OPA,OPA_per90,avg_dist
Yann Sommer,SUI,GK,35,Inter,Serie A,34.0,19,2,0,3,0,25.5,0.23,6.5,0.19,104,226,46.0,1033,120,17.4,26.1,201,22.9,27.9,395,18,4.6,14,0.41,12.1
Emil Audero,ITA,GK,27,Inter,Serie A,3.7,3,0,0,0,0,3.1,0.28,0.1,0.02,6,24,25.0,177,28,11.9,24.6,18,16.7,27.2,54,6,11.1,2,0.53,10.2
Raffaele Di Gennaro,ITA,GK,30,Inter,Serie A,0.3,0,0,0,0,0,0.5,0.13,0.5,2.08,1,2,50.0,15,3,13.3,25.2,1,0.0,10.0,4,0,0.0,0,0.0,0.0
Mike Maignan,FRA,GK,28,Milan,Serie A,29.0,34,7,2,3,0,29.8,0.19,-4.2,-0.14,119,284,41.9,1070,188,21.1,28.2,147,39.5,38.0,339,37,10.9,36,1.24,15.2
Marco Sportiello,ITA,GK,32,Milan,Serie A,7.0,11,1,0,0,1,8.9,0.25,-1.1,-0.15,20,51,39.2,230,40,20.4,26.9,17,23.5,29.1,81,5,6.2,9,1.29,15.4
Antonio Mirante,ITA,GK,40,Milan,Serie A,2.0,3,0,0,1,0,3.1,0.41,0.1,0.05,5,14,35.7,46,5,26.1,29.2,8,25.0,29.4,17,1,5.9,1,0.51,11.9
Lapo Nava,ITA,GK,20,Milan,Serie A,0.0,1,0,0,0,0,0.9,0.5,-0.1,-2.83,1,1,100.0,1,0,100.0,43.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0
Wojciech Szczęsny,POL,GK,34,Juventus,Serie A,35.0,30,2,0,4,2,28.3,0.24,0.3,0.01,147,340,43.2,828,134,32.0,32.8,174,43.1,40.2,555,26,4.7,20,0.57,11.6
Mattia Perin,ITA,GK,31,Juventus,Serie A,2.5,1,0,0,0,0,1.2,0.25,0.2,0.1,5,15,33.3,54,9,25.9,29.4,12,8.3,19.5,29,2,6.9,3,1.2,16.7
Carlo Pinsoglio,ITA,GK,34,Juventus,Serie A,0.5,0,0,0,0,0,0.5,0.18,0.5,1.06,2,5,40.0,21,1,23.8,31.4,0,0.0,0.0,17,0,0.0,0,0.0,5.0
Marco Carnesecchi,ITA,GK,23,Atalanta,Serie A,25.9,27,4,0,1,0,27.8,0.22,0.8,0.03,113,326,34.7,648,136,30.6,33.9,189,67.7,51.7,325,20,6.2,35,1.35,14.3
Juan Musso,ARG,GK,30,Atalanta,Serie A,11.0,12,2,0,2,1,9.8,0.23,-1.2,-0.11,40,120,33.3,299,70,24.4,29.6,70,67.1,48.6,110,10,9.1,16,1.45,16.7
Francesco Rossi,ITA,GK,33,Atalanta,Serie A,0.1,0,0,0,0,0,0.8,0.75,0.8,13.52,0,1,0.0,1,1,0.0,14.0,1,100.0,67.0,2,0,0.0,0,0.0,0.0
Lukasz Skorupski,POL,GK,33,Bologna,Serie A,32.0,29,3,1,3,1,26.6,0.23,-1.4,-0.05,103,297,34.7,829,136,26.3,29.6,188,42.0,38.7,432,12,2.8,15,0.47,12.2
Federico Ravaglia,ITA,GK,24,Bologna,Serie A,5.9,3,0,1,0,0,5.4,0.26,2.4,0.41,14,49,28.6,172,23,18.0,25.4,34,52.9,41.0,73,1,1.4,4,0.67,17.1
Nicola Bagnolini,ITA,GK,20,Bologna,Serie A,0.1,0,0,0,0,0,0.0,0.02,0.0,0.36,1,2,50.0,1,0,100.0,47.0,2,50.0,53.0,0,0,0.0,0,0.0,0.0
Rui Patrício,POR,GK,36,Roma,Serie A,23.0,27,2,0,2,2,23.4,0.29,-1.6,-0.07,90,211,42.7,492,86,31.5,31.0,137,40.9,34.9,309,16,5.2,8,0.35,11.7
Mile Svilar,SRB,GK,24,Roma,Serie A,15.0,19,1,0,3,1,20.2,0.24,2.2,0.14,44,116,37.9,516,77,15.9,25.3,89,38.2,36.2,208,16,7.7,7,0.47,12.0
Ivan Provedel,ITA,GK,30,Lazio,Serie A,30.0,33,2,0,1,0,31.3,0.24,-1.7,-0.06,101,252,40.1,841,103,22.6,30.8,176,35.2,37.0,377,15,4.0,18,0.6,13.0
Christos Mandas,GRE,GK,22,Lazio,Serie A,8.0,6,0,0,2,0,7.0,0.25,1.0,0.12,38,114,33.3,240,29,42.5,37.7,29,41.4,37.9,99,6,6.1,5,0.62,13.1
Pietro Terracciano,ITA,GK,34,Fiorentina,Serie A,33.0,35,6,3,5,0,40.2,0.27,5.2,0.16,164,382,42.9,1051,120,29.0,32.1,176,43.8,38.2,307,7,2.3,23,0.7,14.6
Oliver Christensen,DEN,GK,25,Fiorentina,Serie A,4.0,9,2,0,0,0,4.7,0.15,-4.3,-1.08,23,61,37.7,170,15,31.8,31.0,20,35.0,33.7,32,1,3.1,9,2.25,19.5
Vanja Milinković-Savić,SRB,GK,27,Torino,Serie A,36.0,31,6,0,4,0,33.8,0.21,2.8,0.08,264,783,33.7,1288,171,44.8,38.3,239,86.2,66.6,407,38,9.3,37,1.03,13.6
Luca Gemello,ITA,GK,23,Torino,Serie A,2.0,5,1,0,0,0,3.6,0.31,-1.4,-0.72,10,29,34.5,104,8,26.9,31.1,12,8.3,19.7,24,3,12.5,3,1.5,12.0
Alex Meret,ITA,GK,27,Napoli,Serie A,30.8,40,2,1,5,0,38.0,0.33,-2.0,-0.07,56,174,32.2,774,120,18.5,27.9,137,22.6,29.5,334,9,2.7,29,0.94,15.4
Pierluigi Gollini,ITA,GK,29,Napoli,Serie A,7.0,8,0,0,1,0,8.2,0.34,0.2,0.02,27,68,39.7,213,28,22.1,29.5,53,39.6,36.3,82,5,6.1,9,1.29,16.2
Nikita Contini Baranovsky,ITA,GK,28,Napoli,Serie A,0.2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,3,1,0.0,17.0,1,0.0,15.0,1,0,0.0,3,15.88,37.0
Josep Martinez,ESP,GK,26,Genoa,Serie A,36.0,43,3,1,4,1,38.9,0.28,-3.1,-0.09,227,583,38.9,1253,107,37.4,35.9,171,66.7,49.4,580,45,7.8,40,1.11,12.2
Nicola Leali,ITA,GK,31,Genoa,Serie A,2.0,2,0,0,0,0,2.8,0.31,0.8,0.4,18,48,37.5,62,3,69.4,44.7,10,50.0,40.6,27,2,7.4,1,0.51,15.2
Daniele Sommariva,ITA,GK,26,Genoa,Serie A,0.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0.0,2,0,100.0,54.5,1,100.0,76.0,2,1,50.0,0,0.0,15.0
Michele Di Gregorio,ITA,GK,26,Monza,Serie A,31.9,35,3,1,5,0,45.4,0.26,10.4,0.33,179,430,41.6,1126,201,27.8,30.6,223,52.5,44.2,469,19,4.1,18,0.56,11.5
Alessandro Sorrentino,ITA,GK,22,Monza,Serie A,6.1,16,4,0,1,0,14.4,0.34,-1.6,-0.27,18,56,32.1,151,29,26.5,30.6,42,38.1,36.1,62,3,4.8,3,0.49,16.8
Lorenzo Montipò,ITA,GK,28,Hellas Verona,Serie A,37.0,49,2,0,6,1,40.7,0.26,-7.3,-0.2,323,763,42.3,960,109,54.5,41.1,305,78.7,56.4,487,22,4.5,43,1.16,15.3
Simone Perilli,ITA,GK,29,Hellas Verona,Serie A,1.0,2,0,0,0,0,2.7,0.29,0.7,0.75,8,28,28.6,32,2,75.0,49.5,5,80.0,62.0,5,0,0.0,2,2.0,18.0
Wladimiro Falcone,ITA,GK,29,Lecce,Serie A,38.0,54,5,1,7,1,53.2,0.28,0.2,0.01,152,489,31.1,893,159,42.6,34.9,248,44.0,35.2,522,20,3.8,20,0.53,11.0
Maduka Okoye,NGA,GK,24,Udinese,Serie A,21.0,25,3,2,3,1,23.9,0.24,-0.1,0.0,99,263,37.6,286,45,55.9,41.7,161,64.0,49.0,365,7,1.9,2,0.1,8.7
Marco Silvestri,ITA,GK,33,Udinese,Serie A,17.0,28,6,0,2,0,25.7,0.29,-2.3,-0.14,57,168,33.9,345,68,33.6,32.3,105,49.5,42.1,282,5,1.8,7,0.41,13.1
Simone Scuffet,ITA,GK,27,Cagliari,Serie A,31.0,55,3,3,9,2,45.1,0.33,-7.9,-0.25,161,452,35.6,684,106,43.3,37.1,243,64.2,46.9,482,22,4.6,20,0.65,12.1
Boris Radunović,SRB,GK,28,Cagliari,Serie A,7.0,12,0,0,1,1,10.1,0.38,-0.9,-0.13,41,91,45.1,156,31,35.9,37.0,66,53.0,43.8,98,6,6.1,4,0.57,11.2
Simone Aresti,ITA,GK,38,Cagliari,Serie A,0.0,1,1,0,0,0,1.0,0.0,0.0,-1.21,0,1,0.0,1,0,100.0,64.0,0,0.0,0.0,3,0,0.0,0,0.0,0.0
Elia Caprile,ITA,GK,22,Empoli,Serie A,23.0,27,4,0,5,0,27.6,0.22,0.6,0.02,117,350,33.4,657,137,40.3,36.8,159,53.5,45.1,391,31,7.9,20,0.87,13.3
Etrit Berisha,ALB,GK,35,Empoli,Serie A,14.0,25,2,0,5,1,20.7,0.24,-3.3,-0.24,44,184,23.9,400,75,34.8,33.0,90,50.0,40.8,236,11,4.7,10,0.71,12.4
Samuele Perisan,ITA,GK,26,Empoli,Serie A,1.0,2,0,0,0,0,0.7,0.14,-1.3,-1.32,1,8,12.5,22,8,27.3,26.3,12,16.7,29.6,18,0,0.0,1,1.0,21.0
Stefano Turati,ITA,GK,22,Frosinone,Serie A,30.5,58,5,0,10,1,47.5,0.28,-9.5,-0.31,72,316,22.8,919,147,27.3,29.2,144,45.1,38.8,412,18,4.4,19,0.62,13.7
Michele Cerofolini,ITA,GK,25,Frosinone,Serie A,7.5,11,0,0,1,1,5.9,0.22,-4.1,-0.55,18,100,18.0,171,28,47.4,37.2,38,50.0,42.8,126,4,3.2,7,0.93,14.3
Andrea Consigli,ITA,GK,37,Sassuolo,Serie A,35.0,68,7,1,7,3,51.7,0.28,-13.3,-0.38,172,540,31.9,982,143,42.3,36.9,252,49.6,41.2,545,23,4.2,22,0.63,11.8
Alessio Cragno,ITA,GK,29,Sassuolo,Serie A,3.0,7,1,1,1,1,5.1,0.3,-0.9,-0.28,17,45,37.8,78,11,50.0,37.8,22,27.3,30.5,37,3,8.1,8,2.67,18.6
Guillermo Ochoa,MEX,GK,38,Salernitana,Serie A,21.0,44,7,0,3,1,37.2,0.27,-5.8,-0.28,85,323,26.3,479,73,46.3,37.5,171,59.1,44.4,342,9,2.6,11,0.52,13.6
Benoît Costil,FRA,GK,36,Salernitana,Serie A,13.0,29,3,0,2,1,23.6,0.32,-4.4,-0.34,71,228,31.1,323,45,48.0,37.0,104,70.2,51.1,212,2,0.9,19,1.46,18.2
Vincenzo Fiorillo,ITA,GK,34,Salernitana,Serie A,4.0,8,0,0,4,0,7.3,0.28,-0.7,-0.18,27,96,28.1,72,9,68.1,44.9,54,87.0,56.6,77,4,5.2,1,0.25,7.6
Wéverton,BRA,GK,35,Palmeiras,Brazilian League,35.0,30,3,1,3,1,34.9,0.24,5.9,0.17,143,379,37.7,948,198,32.1,34.0,239,31.4,33.1,397,34,8.6,20,0.57,12.8
