player,nationality,position,age,club,league,minutes_90s,Y,R,YR,fouls,fouled,offsides,crosses,interceptions,tklw,pens_won,pens_conceded,OG,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Henrikh Mkhitaryan,ARM,MF,35,Inter,Serie A,30.9,4,0,0,35,29,3,32,29,34,1,0,0,182,15,16,48.4
Yann Sommer,SUI,GK,35,Inter,Serie A,34.0,1,0,0,1,1,0,0,0,1,0,1,0,43,3,1,75.0
Nicolò Barella,ITA,MF,27,Inter,Serie A,31.6,7,0,0,28,27,3,51,10,30,1,0,0,167,20,15,57.1
Marcus Thuram,FRA,FW,26,Inter,Serie A,29.9,3,0,0,35,45,20,21,4,15,5,0,0,66,70,42,62.5
Hakan Çalhanoğlu,TUR,MF,30,Inter,Serie A,28.4,5,0,0,43,23,0,153,24,33,0,0,0,166,26,18,59.1
Lautaro Martínez,ARG,FW,26,Inter,Serie A,29.5,5,0,0,46,59,12,15,20,16,2,1,0,90,38,27,58.5
Federico Dimarco,ITA,DF,26,Inter,Serie A,23.1,0,0,0,12,21,5,196,9,25,0,0,0,99,6,9,40.0
Alessandro Bastoni,ITA,DF,25,Inter,Serie A,25.2,5,0,0,31,31,0,76,23,33,0,0,0,119,37,29,56.1
Matteo Darmian,ITA,DF,34,Inter,Serie A,26.7,2,0,0,27,11,1,21,13,22,1,2,0,74,20,17,54.1
Francesco Acerbi,ITA,DF,36,Inter,Serie A,26.5,1,0,0,19,24,3,9,32,13,0,0,0,102,70,37,65.4
Benjamin Pavard,FRA,DF,28,Inter,Serie A,18.6,6,0,0,23,15,2,24,32,21,0,0,0,68,35,27,56.5
Denzel Dumfries,NED,DF,28,Inter,Serie A,18.2,2,1,0,25,18,5,47,12,13,0,0,0,58,36,18,66.7
Stefan de Vrij,NED,DF,32,Inter,Serie A,17.6,0,0,0,8,2,0,0,24,13,0,0,0,85,46,25,64.8
Carlos Augusto,BRA,DF,25,Inter,Serie A,19.2,1,0,0,17,6,1,40,16,21,0,0,0,74,59,26,69.4
Yann Aurel Bisseck,GER,DF,23,Inter,Serie A,10.0,0,0,0,6,11,2,5,5,6,0,0,0,37,18,17,51.4
Davide Frattesi,ITA,MF,24,Inter,Serie A,10.6,1,0,0,12,16,1,11,5,6,1,0,0,38,14,15,48.3
Kristjan Asllani,ALB,MF,22,Inter,Serie A,8.7,1,0,0,4,19,0,35,11,2,0,0,0,57,4,7,36.4
Alexis Sánchez,CHI,FW,35,Inter,Serie A,8.5,0,0,0,14,19,8,31,1,6,0,0,0,28,8,13,38.1
Marko Arnautović,AUT,FW,35,Inter,Serie A,8.9,0,0,0,11,15,8,7,5,4,0,0,0,17,4,7,36.4
Emil Audero,ITA,GK,27,Inter,Serie A,3.7,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0
Davy Klaassen,NED,MF,31,Inter,Serie A,2.3,1,0,0,3,0,1,0,3,2,0,0,0,9,4,1,80.0
Juan Cuadrado,COL,DF,36,Inter,Serie A,3.0,1,0,0,4,6,1,18,1,3,0,0,0,11,0,0,0.0
Tajon Buchanan,CAN,DF,25,Inter,Serie A,1.8,0,0,0,1,6,1,11,0,1,0,0,0,6,0,3,0.0
Stefano Sensi,ITA,MF,28,Inter,Serie A,0.5,0,0,0,0,1,0,1,1,1,0,0,0,3,0,0,0.0
Raffaele Di Gennaro,ITA,GK,30,Inter,Serie A,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ebenezer Akinsanmiro,NGA,MF,19,Inter,Serie A,0.2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0
Lucien Agoume,FRA,MF,22,Inter,Serie A,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Tijjani Reijnders,NED,MF,25,Milan,Serie A,31.3,8,0,0,21,20,1,39,18,25,0,0,0,136,8,18,30.8
Christian Pulisic,USA,"FW,MF",25,Milan,Serie A,28.9,2,0,0,19,45,4,101,10,26,1,0,0,100,16,26,38.1
Theo Hernández,FRA,DF,26,Milan,Serie A,31.0,11,1,0,38,50,2,68,23,17,1,1,0,172,29,18,61.7
Mike Maignan,FRA,GK,28,Milan,Serie A,29.0,1,1,0,1,5,0,0,1,0,0,0,0,38,7,1,87.5
Rafael Leão,POR,FW,24,Milan,Serie A,27.9,5,0,0,27,52,17,108,9,10,2,1,0,78,24,17,58.5
Olivier Giroud,FRA,FW,37,Milan,Serie A,26.3,1,1,0,31,24,14,3,6,11,0,1,0,29,59,57,50.9
Davide Calabria,ITA,DF,27,Milan,Serie A,24.3,5,2,1,25,19,0,36,24,38,0,1,0,90,12,27,30.8
Ruben Loftus-Cheek,ENG,MF,28,Milan,Serie A,23.0,5,0,0,39,45,1,13,9,18,1,0,0,91,43,31,58.1
Fikayo Tomori,ENG,DF,26,Milan,Serie A,23.6,8,1,1,26,9,1,3,26,24,0,1,0,105,29,26,52.7
Alessandro Florenzi,ITA,DF,33,Milan,Serie A,19.2,5,0,0,11,9,2,122,20,21,0,0,0,97,7,17,29.2
Malick Thiaw,GER,DF,22,Milan,Serie A,18.0,5,1,0,31,7,0,0,13,17,0,1,1,76,37,21,63.8
Yacine Adli,FRA,MF,23,Milan,Serie A,15.6,3,0,0,26,9,1,50,20,17,0,1,0,94,15,10,60.0
Matteo Gabbia,ITA,DF,24,Milan,Serie A,14.2,5,0,0,27,8,0,0,10,20,0,0,0,62,35,18,66.0
Simon Kjær,DEN,DF,35,Milan,Serie A,13.0,1,0,0,9,2,0,1,14,15,1,0,0,59,23,17,57.5
Yunus Musah,USA,"MF,FW",21,Milan,Serie A,16.4,5,0,0,22,21,2,28,10,14,0,0,0,74,14,18,43.8
Ismaël Bennacer,ALG,MF,26,Milan,Serie A,12.8,2,0,0,18,26,1,32,12,19,0,0,0,78,13,19,40.6
Samuel Chukwueze,NGA,FW,25,Milan,Serie A,11.3,1,0,0,7,12,7,20,6,7,0,0,0,59,9,17,34.6
Luka Jović,SRB,FW,26,Milan,Serie A,9.7,2,1,0,8,12,2,1,1,4,0,0,0,20,17,15,53.1
Rade Krunić,BIH,MF,30,Milan,Serie A,7.6,3,0,0,10,11,0,4,11,8,0,0,0,41,11,6,64.7
Marco Sportiello,ITA,GK,32,Milan,Serie A,7.0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0.0
Noah Okafor,SUI,"FW,MF",24,Milan,Serie A,9.9,1,0,0,12,9,2,22,0,4,0,0,0,27,7,13,35.0
Pierre Kalulu,FRA,DF,23,Milan,Serie A,4.2,0,0,0,1,3,0,5,1,1,0,0,0,15,3,8,27.3
Tommaso Pobega,ITA,MF,24,Milan,Serie A,3.5,0,0,0,8,7,0,0,6,9,0,0,0,24,2,2,50.0
Antonio Mirante,ITA,GK,40,Milan,Serie A,2.0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,100.0
Filippo Terracciano,ITA,"DF,FW",21,Milan,Serie A,0.8,1,0,0,3,1,0,0,0,2,0,1,0,6,0,0,0.0
Jan-Carlo Simic,SRB,DF,19,Milan,Serie A,1.6,0,0,0,2,0,0,0,0,1,0,0,0,4,2,2,50.0
Luka Romero,ARG,"FW,MF",19,Milan,Serie A,1.0,1,0,0,3,2,0,2,0,0,0,0,0,5,1,1,50.0
Davide Bartesaghi,ITA,"DF,MF",18,Milan,Serie A,0.9,0,0,0,1,1,0,0,0,0,0,0,0,2,3,0,100.0
Alejandro Jiménez,ESP,DF,19,Milan,Serie A,0.8,1,0,0,2,1,0,1,0,1,0,0,0,2,0,0,0.0
Marco Pellegrino,ARG,DF,21,Milan,Serie A,0.8,0,0,0,0,0,0,0,1,1,0,0,0,5,1,1,50.0
Mattia Caldara,ITA,DF,30,Milan,Serie A,0.4,0,0,0,0,0,0,0,1,1,0,0,0,3,2,0,100.0
Kevin Zeroli,ITA,MF,19,Milan,Serie A,0.3,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,50.0
Chaka Traorè,CIV,FW,19,Milan,Serie A,0.2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.0
Francesco Camarda,ITA,FW,16,Milan,Serie A,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0
Lapo Nava,ITA,GK,20,Milan,Serie A,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Gleison Bremer,BRA,DF,27,Juventus,Serie A,35.9,9,0,0,60,17,2,1,40,42,0,1,0,196,102,56,64.6
Wojciech Szczęsny,POL,GK,34,Juventus,Serie A,35.0,1,0,0,1,2,0,0,1,0,0,1,0,38,3,1,75.0
Manuel Locatelli,ITA,MF,26,Juventus,Serie A,33.4,6,0,0,41,24,2,10,25,43,0,0,0,171,26,15,63.4
Adrien Rabiot,FRA,MF,29,Juventus,Serie A,29.5,8,0,0,44,38,6,45,25,39,0,0,0,150,54,40,57.4
Federico Gatti,ITA,DF,25,Juventus,Serie A,29.3,7,0,0,39,15,0,19,19,19,1,0,2,116,50,31,61.7
Weston McKennie,USA,"MF,DF",25,Juventus,Serie A,28.8,6,0,0,23,12,6,59,18,29,0,0,0,115,37,34,52.1
Andrea Cambiaso,ITA,"DF,FW",24,Juventus,Serie A,26.4,10,0,0,35,20,4,81,11,30,1,0,0,124,13,16,44.8
Danilo,BRA,DF,32,Juventus,Serie A,27.2,7,0,0,26,14,1,18,37,36,0,0,0,142,37,27,57.8
Dušan Vlahović,SRB,FW,24,Juventus,Serie A,25.6,8,1,1,31,34,13,7,1,5,0,0,0,60,37,53,41.1
Filip Kostić,SRB,DF,31,Juventus,Serie A,20.2,2,0,0,19,18,7,168,9,23,0,0,0,73,11,17,39.3
Federico Chiesa,ITA,FW,26,Juventus,Serie A,24.4,1,0,0,13,40,7,117,6,10,1,0,0,62,0,9,0.0
Fabio Miretti,ITA,MF,20,Juventus,Serie A,12.3,3,0,0,22,29,1,32,7,14,0,0,0,73,3,12,20.0
Daniele Rugani,ITA,DF,29,Juventus,Serie A,13.2,2,0,0,15,3,0,1,9,9,0,0,0,44,25,24,51.0
Timothy Weah,USA,"DF,FW",24,Juventus,Serie A,14.0,5,0,0,15,8,2,38,5,20,0,0,0,58,10,13,43.5
Kenan Yıldız,TUR,"FW,DF",19,Juventus,Serie A,10.6,3,0,0,12,22,1,17,1,9,0,0,0,40,16,23,41.0
Alex Sandro,BRA,DF,33,Juventus,Serie A,8.0,1,0,0,17,12,0,5,15,7,0,0,0,34,12,9,57.1
Moise Kean,ITA,FW,24,Juventus,Serie A,7.3,2,0,0,13,13,7,1,2,4,0,0,0,18,10,6,62.5
Arkadiusz Milik,POL,FW,30,Juventus,Serie A,10.2,2,1,0,22,26,11,4,5,5,0,0,0,31,24,32,42.9
Samuel Iling-Junior,ENG,"DF,MF",20,Juventus,Serie A,9.0,1,0,0,15,5,1,46,6,13,0,0,0,40,9,3,75.0
Nicolò Fagioli,ITA,MF,23,Juventus,Serie A,4.9,1,0,0,3,5,1,19,4,3,0,0,0,23,1,0,100.0
Carlos Alcaraz,ARG,MF,21,Juventus,Serie A,4.2,0,0,0,5,5,0,1,5,6,0,0,0,17,2,9,18.2
Hans Nicolussi Caviglia,ITA,MF,23,Juventus,Serie A,3.0,1,0,0,1,10,0,18,0,2,0,0,0,18,2,2,50.0
Mattia Perin,ITA,GK,31,Juventus,Serie A,2.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0
Mattia De Sciglio,ITA,DF,31,Juventus,Serie A,0.5,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0.0
Paul Pogba,FRA,MF,31,Juventus,Serie A,0.6,0,0,0,3,1,0,1,1,1,0,0,0,4,1,0,100.0
Carlo Pinsoglio,ITA,GK,34,Juventus,Serie A,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Joseph Nonge,BEL,MF,19,Juventus,Serie A,0.3,1,0,0,3,1,0,0,0,0,0,1,0,1,1,0,100.0
Tiago Djaló,POR,DF,24,Juventus,Serie A,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0
Dean Huijsen,ESP,DF,19,Juventus,Serie A,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Nikola Sekulov,ITA,FW,22,Juventus,Serie A,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Leonardo Cerri,ITA,DF,21,Juventus,Serie A,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Berat Djimsiti,ALB,DF,31,Atalanta,Serie A,31.3,5,0,0,17,11,0,6,57,24,0,1,0,171,92,55,62.6
Ederson,BRA,MF,24,Atalanta,Serie A,30.9,8,0,0,43,33,0,17,40,46,0,0,0,177,35,25,58.3
Giorgio Scalvini,ITA,DF,20,Atalanta,Serie A,27.3,3,0,0,48,10,4,5,57,32,0,2,0,160,79,38,67.5
Marten de Roon,NED,"MF,DF",33,Atalanta,Serie A,28.9,10,0,0,43,24,3,16,40,43,0,1,0,164,35,27,56.5
Teun Koopmeiners,NED,MF,26,Atalanta,Serie A,28.2,5,0,0,53,23,4,115,10,24,0,1,0,144,26,32,44.8
Matteo Ruggeri,ITA,DF,21,Atalanta,Serie A,26.2,3,0,0,21,9,2,97,22,14,0,1,0,165,48,35,57.8
Marco Carnesecchi,ITA,GK,23,Atalanta,Serie A,25.9,0,0,0,1,2,0,0,0,0,0,1,0,39,7,1,87.5
Sead Kolašinac,BIH,DF,30,Atalanta,Serie A,24.2,4,0,0,29,20,1,9,21,32,0,0,0,151,34,32,51.5
Charles De Ketelaere,BEL,"FW,MF",23,Atalanta,Serie A,21.7,1,0,0,17,46,6,44,7,20,0,0,1,90,37,34,52.1
Davide Zappacosta,ITA,DF,31,Atalanta,Serie A,20.7,5,0,0,26,15,2,76,5,20,0,0,0,99,9,13,40.9
Mario Pašalić,CRO,"MF,FW",29,Atalanta,Serie A,21.8,3,0,0,19,7,6,9,16,17,0,0,0,119,36,29,55.4
Ademola Lookman,NGA,"FW,MF",26,Atalanta,Serie A,20.4,4,0,0,28,32,10,67,9,13,1,0,0,89,18,21,46.2
Gianluca Scamacca,ITA,FW,25,Atalanta,Serie A,15.8,1,0,0,28,27,8,6,4,9,0,0,0,32,21,34,38.2
Aleksei Miranchuk,RUS,"MF,FW",28,Atalanta,Serie A,12.7,1,0,0,12,31,3,81,2,6,0,0,0,67,7,11,38.9
Juan Musso,ARG,GK,30,Atalanta,Serie A,11.0,0,0,0,1,0,0,0,0,0,0,1,0,22,2,0,100.0
Emil Holm,SWE,DF,24,Atalanta,Serie A,9.9,5,0,0,13,20,1,33,7,17,2,0,0,53,28,24,53.8
Hans Hateboer,NED,DF,30,Atalanta,Serie A,12.3,5,0,0,16,3,0,34,4,5,0,1,0,33,17,11,60.7
Rafael Tolói,ITA,DF,33,Atalanta,Serie A,9.9,6,1,1,17,3,0,8,13,8,0,0,0,53,17,14,54.8
Isak Hien,SWE,DF,25,Atalanta,Serie A,9.4,3,0,0,17,9,2,0,11,12,0,0,0,53,31,14,68.9
Mitchel Bakker,NED,DF,23,Atalanta,Serie A,4.2,1,0,0,4,4,1,13,3,3,0,0,0,30,4,1,80.0
El Bilal Touré,MLI,FW,22,Atalanta,Serie A,4.2,2,0,0,13,7,2,1,1,1,1,0,0,8,14,14,50.0
Luis Muriel,COL,"FW,MF",33,Atalanta,Serie A,4.5,0,0,0,6,14,1,31,1,2,0,0,0,18,6,7,46.2
Duván Zapata,COL,FW,33,Atalanta,Serie A,1.2,0,0,0,1,4,1,6,0,0,0,0,0,6,5,5,50.0
Giovanni Bonfanti,ITA,DF,21,Atalanta,Serie A,1.0,0,0,0,2,1,0,2,1,2,0,0,0,7,1,2,33.3
Nadir Zortea,ITA,DF,24,Atalanta,Serie A,1.7,1,0,0,4,2,0,12,1,4,0,0,0,4,0,2,0.0
Michel Ndary Adopo,FRA,MF,23,Atalanta,Serie A,1.2,0,0,0,2,1,1,1,0,3,0,0,0,13,3,1,75.0
José Luis Palomino,ARG,DF,34,Atalanta,Serie A,0.3,0,0,0,0,0,0,0,1,1,0,0,0,3,3,0,100.0
Francesco Rossi,ITA,GK,33,Atalanta,Serie A,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Leonardo Mendicino,ITA,MF,17,Atalanta,Serie A,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Lukasz Skorupski,POL,GK,33,Bologna,Serie A,32.0,2,0,0,0,4,0,0,1,2,0,0,0,34,1,2,33.3
