player,nationality,position,age,club,league,minutes_90s,p_tackled,tklw,def_3rd,mid_3rd,att_3rd,d_tackled,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,intr,tkl_intr,clr,err
Henrikh Mkhitaryan,ARM,MF,35,Inter,Serie A,30.9,62,34,18,35,9,24,49,49.0,25,23,4,19,29,91,43,0
Yann Sommer,SUI,GK,35,Inter,Serie A,34.0,2,1,2,0,0,2,2,100.0,0,1,0,1,0,2,7,1
Nicolò Barella,ITA,MF,27,Inter,Serie A,31.6,46,30,17,20,9,19,63,30.2,44,31,1,30,10,56,12,1
Marcus Thuram,FRA,FW,26,Inter,Serie A,29.9,23,15,9,9,5,4,13,30.8,9,26,3,23,4,27,19,0
Hakan Çalhanoğlu,TUR,MF,30,Inter,Serie A,28.4,66,33,29,29,8,32,49,65.3,17,29,13,16,24,90,22,0
Lautaro Martínez,ARG,FW,26,Inter,Serie A,29.5,22,16,4,13,5,4,19,21.1,15,30,1,29,20,42,10,0
Federico Dimarco,ITA,DF,26,Inter,Serie A,23.1,42,25,19,14,9,17,35,48.6,18,18,3,15,9,51,34,1
Alessandro Bastoni,ITA,DF,25,Inter,Serie A,25.2,46,33,31,12,3,26,40,65.0,14,25,11,14,23,69,48,1
Matteo Darmian,ITA,DF,34,Inter,Serie A,26.7,48,22,23,15,10,20,53,37.7,33,27,11,16,13,61,55,0
Francesco Acerbi,ITA,DF,36,Inter,Serie A,26.5,22,13,16,6,0,11,14,78.6,3,20,13,7,32,54,77,1
Benjamin Pavard,FRA,DF,28,Inter,Serie A,18.6,34,21,21,11,2,20,24,83.3,4,25,15,10,32,66,44,1
Denzel Dumfries,NED,DF,28,Inter,Serie A,18.2,22,13,9,11,2,9,23,39.1,14,15,6,9,12,34,33,1
Stefan de Vrij,NED,DF,32,Inter,Serie A,17.6,18,13,13,4,1,8,15,53.3,7,22,10,12,24,42,51,0
Carlos Augusto,BRA,DF,25,Inter,Serie A,19.2,29,21,20,9,0,15,22,68.2,7,20,8,12,16,45,52,0
Yann Aurel Bisseck,GER,DF,23,Inter,Serie A,10.0,14,6,10,3,1,6,9,66.7,3,10,7,3,5,19,23,0
Davide Frattesi,ITA,MF,24,Inter,Serie A,10.6,10,6,3,7,0,4,8,50.0,4,9,3,6,5,15,19,0
Kristjan Asllani,ALB,MF,22,Inter,Serie A,8.7,7,2,3,4,0,2,11,18.2,9,9,3,6,11,18,8,0
Alexis Sánchez,CHI,FW,35,Inter,Serie A,8.5,7,6,0,5,2,1,4,25.0,3,4,1,3,1,8,3,0
Marko Arnautović,AUT,FW,35,Inter,Serie A,8.9,10,4,3,5,2,4,7,57.1,3,8,1,7,5,15,5,0
Emil Audero,ITA,GK,27,Inter,Serie A,3.7,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
Davy Klaassen,NED,MF,31,Inter,Serie A,2.3,4,2,0,4,0,1,3,33.3,2,5,1,4,3,7,4,0
Juan Cuadrado,COL,DF,36,Inter,Serie A,3.0,4,3,2,2,0,3,5,60.0,2,6,1,5,1,5,2,0
Tajon Buchanan,CAN,DF,25,Inter,Serie A,1.8,1,1,0,0,1,1,2,50.0,1,1,0,1,0,1,4,0
Stefano Sensi,ITA,MF,28,Inter,Serie A,0.5,1,1,0,1,0,1,3,33.3,2,1,0,1,1,2,0,0
Raffaele Di Gennaro,ITA,GK,30,Inter,Serie A,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Ebenezer Akinsanmiro,NGA,MF,19,Inter,Serie A,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Lucien Agoume,FRA,MF,22,Inter,Serie A,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Tijjani Reijnders,NED,MF,25,Milan,Serie A,31.3,46,25,10,31,5,21,43,48.8,22,26,8,18,18,64,26,0
Christian Pulisic,USA,"FW,MF",25,Milan,Serie A,28.9,35,26,14,11,10,17,30,56.7,13,20,1,19,10,45,10,1
Theo Hernández,FRA,DF,26,Milan,Serie A,31.0,30,17,19,11,0,11,22,50.0,11,33,13,20,23,53,42,1
Mike Maignan,FRA,GK,28,Milan,Serie A,29.0,1,0,1,0,0,1,1,100.0,0,1,0,1,1,2,4,3
Rafael Leão,POR,FW,24,Milan,Serie A,27.9,16,10,3,8,5,8,13,61.5,5,15,1,14,9,25,19,0
Olivier Giroud,FRA,FW,37,Milan,Serie A,26.3,17,11,6,6,5,2,14,14.3,12,14,3,11,6,23,22,0
Davide Calabria,ITA,DF,27,Milan,Serie A,24.3,70,38,38,25,7,44,72,61.1,28,26,7,19,24,94,49,1
Ruben Loftus-Cheek,ENG,MF,28,Milan,Serie A,23.0,28,18,7,14,7,15,27,55.6,12,24,12,12,9,37,10,1
Fikayo Tomori,ENG,DF,26,Milan,Serie A,23.6,42,24,29,10,3,18,29,62.1,11,34,23,11,26,68,75,1
Alessandro Florenzi,ITA,DF,33,Milan,Serie A,19.2,43,21,26,12,5,26,48,54.2,22,16,9,7,20,63,25,1
Malick Thiaw,GER,DF,22,Milan,Serie A,18.0,34,17,15,17,2,12,25,48.0,13,23,13,10,13,47,55,0
Yacine Adli,FRA,MF,23,Milan,Serie A,15.6,34,17,17,13,4,13,35,37.1,22,22,8,14,20,54,15,1
Matteo Gabbia,ITA,DF,24,Milan,Serie A,14.2,29,20,15,13,1,18,24,75.0,6,11,6,5,10,39,48,0
Simon Kjær,DEN,DF,35,Milan,Serie A,13.0,24,15,11,11,2,14,22,63.6,8,22,16,6,14,38,46,2
Yunus Musah,USA,"MF,FW",21,Milan,Serie A,16.4,25,14,15,6,4,8,15,53.3,7,18,4,14,10,35,16,1
Ismaël Bennacer,ALG,MF,26,Milan,Serie A,12.8,29,19,11,16,2,11,22,50.0,11,12,4,8,12,41,9,2
Samuel Chukwueze,NGA,FW,25,Milan,Serie A,11.3,18,7,11,5,2,9,17,52.9,8,3,1,2,6,24,3,0
Luka Jović,SRB,FW,26,Milan,Serie A,9.7,6,4,0,3,3,4,6,66.7,2,3,0,3,1,7,9,0
