player,nationality,position,age,club,league,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense
Henrikh Mkhitaryan,ARM,MF,35,Inter,Serie A,30.9,116,3.75,102,1,1,2,6,4,18,0.58,16,0,0,0,1,1
Yann Sommer,SUI,GK,35,Inter,Serie A,34.0,6,0.18,6,0,0,0,0,0,2,0.06,2,0,0,0,0,0
Nicolò Barella,ITA,MF,27,Inter,Serie A,31.6,137,4.33,121,1,4,7,3,1,20,0.63,13,0,2,4,1,0
Marcus Thuram,FRA,FW,26,Inter,Serie A,29.9,81,2.71,51,0,6,10,13,1,17,0.57,10,0,2,0,5,0
Hakan Çalhanoğlu,TUR,MF,30,Inter,Serie A,28.4,107,3.77,63,39,0,4,0,1,10,0.35,7,3,0,0,0,0
Lautaro Martínez,ARG,FW,26,Inter,Serie A,29.5,102,3.46,71,0,4,16,7,4,16,0.54,7,0,1,3,2,3
Federico Dimarco,ITA,DF,26,Inter,Serie A,23.1,108,4.68,78,21,2,5,1,1,14,0.61,10,2,0,2,0,0
Alessandro Bastoni,ITA,DF,25,Inter,Serie A,25.2,63,2.5,54,1,0,4,3,1,6,0.24,6,0,0,0,0,0
Matteo Darmian,ITA,DF,34,Inter,Serie A,26.7,55,2.06,45,6,0,2,2,0,3,0.11,2,0,0,0,1,0
Francesco Acerbi,ITA,DF,36,Inter,Serie A,26.5,22,0.83,19,0,0,3,0,0,1,0.04,1,0,0,0,0,0
Benjamin Pavard,FRA,DF,28,Inter,Serie A,18.6,27,1.45,25,0,0,1,1,0,2,0.11,2,0,0,0,0,0
Denzel Dumfries,NED,DF,28,Inter,Serie A,18.2,47,2.59,37,3,3,1,3,0,8,0.44,5,0,1,0,2,0
Stefan de Vrij,NED,DF,32,Inter,Serie A,17.6,9,0.51,7,0,0,1,0,1,1,0.06,1,0,0,0,0,0
Carlos Augusto,BRA,DF,25,Inter,Serie A,19.2,36,1.88,29,4,1,0,1,1,6,0.31,4,1,1,0,0,0
Yann Aurel Bisseck,GER,DF,23,Inter,Serie A,10.0,10,1.0,4,0,1,2,3,0,0,0.0,0,0,0,0,0,0
Davide Frattesi,ITA,MF,24,Inter,Serie A,10.6,26,2.45,21,0,0,3,2,0,6,0.57,4,0,0,1,1,0
Kristjan Asllani,ALB,MF,22,Inter,Serie A,8.7,19,2.18,13,4,1,1,0,0,5,0.57,4,1,0,0,0,0
Alexis Sánchez,CHI,FW,35,Inter,Serie A,8.5,35,4.12,28,3,1,1,1,1,8,0.94,6,2,0,0,0,0
Marko Arnautović,AUT,FW,35,Inter,Serie A,8.9,24,2.71,22,0,0,1,1,0,3,0.34,3,0,0,0,0,0
Emil Audero,ITA,GK,27,Inter,Serie A,3.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Davy Klaassen,NED,MF,31,Inter,Serie A,2.3,5,2.18,5,0,0,0,0,0,2,0.87,2,0,0,0,0,0
Juan Cuadrado,COL,DF,36,Inter,Serie A,3.0,13,4.38,11,1,0,1,0,0,3,1.01,3,0,0,0,0,0
Tajon Buchanan,CAN,DF,25,Inter,Serie A,1.8,6,3.35,4,0,0,2,0,0,0,0.0,0,0,0,0,0,0
Stefano Sensi,ITA,MF,28,Inter,Serie A,0.5,4,7.66,2,1,0,1,0,0,1,1.91,1,0,0,0,0,0
Raffaele Di Gennaro,ITA,GK,30,Inter,Serie A,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ebenezer Akinsanmiro,NGA,MF,19,Inter,Serie A,0.2,1,6.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lucien Agoume,FRA,MF,22,Inter,Serie A,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
