player,nationality,position,age,club,league,MP,starts,mins,minutes_90s,GA,GA90,shotsOT_a,saves,save_pct,W,D,L,CS,CS_pct,PKatt,PK_scored,PK_save,PK_missed,PK_pct
Wéverton,BRA,GK,35,Palmeiras,Brazilian League,35,35,"3,150",35.0,30,0.86,133,103,79.7,19,10,6,15,42.9,4,3,1,0,25.0
Marcelo Lomba,BRA,GK,36,Palmeiras,Brazilian League,3,3,270,3.0,3,1.0,16,13,87.5,1,0,2,1,33.3,1,1,0,0,0.0
Gabriel Chapecó,BRA,GK,22,Grêmio,Brazilian League,31,31,"2,790",31.0,51,1.65,159,109,70.4,14,5,12,5,16.1,4,4,0,0,0.0
Caíque,BRA,GK,25,Grêmio,Brazilian League,4,4,360,4.0,3,0.75,17,14,88.2,4,0,0,2,50.0,1,1,0,0,0.0
Adriel,BRA,GK,22,Grêmio,Brazilian League,2,2,180,2.0,1,0.5,8,7,87.5,2,0,0,1,50.0,0,0,0,0,0.0
Brenno,BRA,GK,23,Grêmio,Brazilian League,1,1,90,1.0,1,1.0,2,1,50.0,1,0,0,0,0.0,0,0,0,0,0.0
Everson,BRA,GK,32,Atlético Mineiro,Brazilian League,36,36,"3,240",36.0,31,0.86,132,102,78.0,17,9,10,14,38.9,2,2,0,0,0.0
Matheus Mendes,BRA,GK,23,Atlético Mineiro,Brazilian League,2,2,180,2.0,1,0.5,8,7,87.5,2,0,0,1,50.0,0,0,0,0,0.0
Matheus Cunha,BRA,GK,21,Flamengo,Brazilian League,19,18,"1,580",17.6,22,1.25,98,75,80.6,9,6,3,5,27.8,4,3,1,0,25.0
Agustín Rossi,ARG,GK,27,Flamengo,Brazilian League,15,15,"1,350",15.0,12,0.8,54,42,81.5,8,3,4,8,53.3,2,2,0,0,0.0
Santos,BRA,GK,32,Flamengo,Brazilian League,6,5,490,5.4,8,1.47,24,16,70.8,2,0,3,2,40.0,1,1,0,0,0.0
Lucas Perri,BRA,GK,25,Botafogo (RJ),Brazilian League,38,38,"3,375",37.5,36,0.96,166,131,78.3,18,10,10,15,39.5,1,0,0,1,0.0
Gatito Fernández,PAR,GK,34,Botafogo (RJ),Brazilian League,1,0,45,0.5,1,2.0,4,3,75.0,0,0,0,0,0.0,0,0,0,0,0.0
Cleiton Schwengber,BRA,GK,25,Red Bull Bragantino,Brazilian League,33,33,"2,970",33.0,27,0.82,116,89,81.9,15,9,9,16,48.5,7,6,1,0,14.3
Lucão,BRA,GK,21,Red Bull Bragantino,Brazilian League,5,5,450,5.0,8,1.6,14,6,50.0,2,2,1,1,20.0,1,1,0,0,0.0
Fábio,BRA,GK,42,Fluminense,Brazilian League,35,35,"3,150",35.0,41,1.17,145,105,75.2,16,7,12,12,34.3,6,5,0,1,0.0
Pedro Rangel,BRA,GK,22,Fluminense,Brazilian League,2,2,180,2.0,5,2.5,10,5,50.0,0,1,1,0,0.0,0,0,0,0,0.0
Vitor Eudes,BRA,GK,24,Fluminense,Brazilian League,1,1,90,1.0,1,1.0,5,4,80.0,0,0,1,0,0.0,0,0,0,0,0.0
Bento,BRA,GK,23,Ath Paranaense,Brazilian League,33,33,"2,970",33.0,37,1.12,140,101,76.4,12,11,10,9,27.3,6,4,2,0,33.3
Leonardo Linck,BRA,GK,21,Ath Paranaense,Brazilian League,5,5,450,5.0,6,1.2,30,23,80.0,2,3,0,1,20.0,1,0,1,0,100.0
Sergio Rochet,URU,GK,29,Internacional,Brazilian League,19,19,"1,710",19.0,25,1.32,82,58,75.6,8,5,6,5,26.3,5,5,0,0,0.0
Keiller,BRA,GK,26,Internacional,Brazilian League,10,10,900,10.0,15,1.5,43,27,67.4,2,2,6,1,10.0,2,1,1,0,50.0
John,BRA,GK,26,Internacional,Brazilian League,9,9,810,9.0,5,0.56,39,34,87.2,5,3,1,5,55.6,0,0,0,0,0.0
João Ricardo Riedi,BRA,GK,34,Fortaleza,Brazilian League,32,32,"2,868",31.9,39,1.22,131,92,72.5,13,5,14,8,25.0,6,3,2,1,40.0
Fernando Miguel,BRA,GK,37,Fortaleza,Brazilian League,6,5,462,5.1,5,0.97,28,23,82.1,2,3,0,1,20.0,1,0,0,1,0.0
Maurício Kozlinski,BRA,GK,31,Fortaleza,Brazilian League,1,1,90,1.0,0,0.0,1,1,100.0,0,1,0,1,100.0,0,0,0,0,0.0
Rafael Pires,BRA,GK,33,São Paulo,Brazilian League,33,33,"2,970",33.0,34,1.03,117,84,76.1,13,8,12,13,39.4,7,6,0,1,0.0
Jandrei,BRA,GK,29,São Paulo,Brazilian League,5,5,450,5.0,4,0.8,17,13,88.2,1,3,1,2,40.0,2,2,0,0,0.0
Walter,BRA,GK,35,Cuiabá,Brazilian League,35,35,"3,150",35.0,35,1.0,139,106,77.7,13,9,13,12,34.3,4,4,0,0,0.0
João Carlos,BRA,GK,34,Cuiabá,Brazilian League,3,3,270,3.0,4,1.33,12,8,66.7,1,0,2,1,33.3,0,0,0,0,0.0
Cássio,BRA,GK,35,Corinthians,Brazilian League,37,37,"3,310",36.8,48,1.31,181,134,76.8,11,14,12,8,21.6,7,6,0,1,0.0
