player,nationality,position,age,club,league,minutes_90s,passes,passes_live,passes_dead,passes_fk,through_balls,passes_switches,crosses,throw_ins,CK,CK_in,CK_out,CK_s,passes_completed,passes_offside,passes_blocked
Henrikh Mkhitaryan,ARM,MF,35,Inter,Serie A,30.9,1679,1654,22,14,8,11,32,8,0,0,0,0,1453,3,44
Yann Sommer,SUI,GK,35,Inter,Serie A,34.0,1236,992,242,41,0,1,0,0,0,0,0,0,1078,2,0
Nicolò Barella,ITA,MF,27,Inter,Serie A,31.6,2168,2120,37,17,12,25,51,19,1,0,0,0,1835,11,37
Marcus Thuram,FRA,FW,26,Inter,Serie A,29.9,656,641,14,0,4,4,21,1,0,0,0,0,476,1,21
Hakan Çalhanoğlu,TUR,MF,30,Inter,Serie A,28.4,2316,2097,210,92,4,35,153,4,113,52,47,0,2045,9,18
Lautaro Martínez,ARG,FW,26,Inter,Serie A,29.5,782,734,42,4,12,3,15,1,0,0,0,0,604,6,28
Federico Dimarco,ITA,DF,26,Inter,Serie A,23.1,1328,1116,207,24,1,6,196,124,59,22,30,0,1027,5,34
Alessandro Bastoni,ITA,DF,25,Inter,Serie A,25.2,1935,1787,139,58,1,29,76,71,0,0,0,0,1671,9,30
Matteo Darmian,ITA,DF,34,Inter,Serie A,26.7,1389,1236,150,16,5,9,21,134,0,0,0,0,1181,3,30
Francesco Acerbi,ITA,DF,36,Inter,Serie A,26.5,1781,1719,60,43,0,11,9,8,0,0,0,0,1615,2,5
Benjamin Pavard,FRA,DF,28,Inter,Serie A,18.6,1308,1247,59,33,0,3,24,26,0,0,0,0,1180,2,10
Denzel Dumfries,NED,DF,28,Inter,Serie A,18.2,801,656,142,4,0,2,47,138,0,0,0,0,614,3,16
Stefan de Vrij,NED,DF,32,Inter,Serie A,17.6,1010,989,20,15,0,0,0,1,0,0,0,0,932,1,2
Carlos Augusto,BRA,DF,25,Inter,Serie A,19.2,1099,977,112,14,0,3,40,92,0,0,0,0,921,10,25
Yann Aurel Bisseck,GER,DF,23,Inter,Serie A,10.0,641,614,27,20,1,2,5,7,0,0,0,0,590,0,9
Davide Frattesi,ITA,MF,24,Inter,Serie A,10.6,301,293,7,6,2,2,11,1,0,0,0,0,235,1,7
Kristjan Asllani,ALB,MF,22,Inter,Serie A,8.7,744,685,56,23,2,4,35,1,32,12,10,0,662,3,6
Alexis Sánchez,CHI,FW,35,Inter,Serie A,8.5,367,335,31,6,5,6,31,0,21,10,6,0,276,1,13
Marko Arnautović,AUT,FW,35,Inter,Serie A,8.9,271,264,5,0,3,1,7,0,0,0,0,0,203,2,9
Emil Audero,ITA,GK,27,Inter,Serie A,3.7,197,174,21,3,0,0,0,0,0,0,0,0,166,2,1
Davy Klaassen,NED,MF,31,Inter,Serie A,2.3,95,94,1,1,0,1,0,0,0,0,0,0,82,0,2
Juan Cuadrado,COL,DF,36,Inter,Serie A,3.0,189,169,20,3,0,6,18,17,0,0,0,0,158,0,0
Tajon Buchanan,CAN,DF,25,Inter,Serie A,1.8,72,70,2,0,0,0,11,2,0,0,0,0,58,0,3
Stefano Sensi,ITA,MF,28,Inter,Serie A,0.5,52,49,3,1,1,1,1,0,2,0,1,0,47,0,1
Raffaele Di Gennaro,ITA,GK,30,Inter,Serie A,0.3,17,15,1,0,0,0,0,0,0,0,0,0,15,1,0
Ebenezer Akinsanmiro,NGA,MF,19,Inter,Serie A,0.2,8,7,1,1,0,0,0,0,0,0,0,0,7,0,0
Lucien Agoume,FRA,MF,22,Inter,Serie A,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Tijjani Reijnders,NED,MF,25,Milan,Serie A,31.3,1746,1669,73,33,7,2,39,14,23,11,7,0,1575,4,22
Christian Pulisic,USA,"FW,MF",25,Milan,Serie A,28.9,1074,1035,36,3,3,2,101,12,21,5,13,0,832,3,48
Theo Hernández,FRA,DF,26,Milan,Serie A,31.0,1994,1738,252,80,6,17,68,146,18,4,7,0,1717,4,45
Mike Maignan,FRA,GK,28,Milan,Serie A,29.0,1228,1027,190,43,0,2,0,0,0,0,0,0,1033,11,2
Rafael Leão,POR,FW,24,Milan,Serie A,27.9,1032,984,42,5,7,8,108,25,10,0,0,0,760,6,27
Olivier Giroud,FRA,FW,37,Milan,Serie A,26.3,492,435,55,1,2,1,3,3,0,0,0,0,338,2,9
Davide Calabria,ITA,DF,27,Milan,Serie A,24.3,1541,1292,245,43,1,5,36,202,0,0,0,0,1320,4,13
Ruben Loftus-Cheek,ENG,MF,28,Milan,Serie A,23.0,733,724,7,1,1,1,13,1,0,0,0,0,619,2,8
Fikayo Tomori,ENG,DF,26,Milan,Serie A,23.6,1691,1584,105,34,0,3,3,11,0,0,0,0,1541,2,9
Alessandro Florenzi,ITA,DF,33,Milan,Serie A,19.2,1277,1055,218,51,1,20,122,104,63,28,30,0,1055,4,16
