player,nationality,position,age,club,league,minutes_90s,touches,touches_dpa,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_apa,touches_live_ball,TO,TO_won,TO_won_pct,TO_tkld,TO_tkld_pct,carries,carries_dist,carries_prog_dist,prog_carries,carries_into_final_3rd,carries_into_pa,miscontrols,dispossesed,passes_rec,prog_passes_rec
Henrikh Mkhitaryan,ARM,MF,35,Inter,Serie A,30.9,1982,50,301,1079,628,64,1982,38,19,50.0,17,44.7,1191,6710,3583,92,77,13,39,19,1472,127
Yann Sommer,SUI,GK,35,Inter,Serie A,34.0,1293,1074,1289,4,0,0,1293,0,0,0.0,0,0.0,806,3232,1881,0,0,0,0,0,814,0
Nicolò Barella,ITA,MF,27,Inter,Serie A,31.6,2425,43,424,1281,739,58,2425,59,29,49.2,24,40.7,1556,7283,3389,68,73,9,39,29,1941,144
Marcus Thuram,FRA,FW,26,Inter,Serie A,29.9,967,26,83,422,474,176,967,51,33,64.7,11,21.6,540,3480,1696,68,28,40,81,35,756,192
Hakan Çalhanoğlu,TUR,MF,30,Inter,Serie A,28.4,2591,81,632,1389,586,26,2581,15,7,46.7,7,46.7,1604,7646,3868,45,65,1,27,7,1878,34
Lautaro Martínez,ARG,FW,26,Inter,Serie A,29.5,1176,12,88,532,564,178,1173,68,19,27.9,39,57.4,735,3228,1486,54,29,28,68,45,878,172
Federico Dimarco,ITA,DF,26,Inter,Serie A,23.1,1538,35,340,572,641,74,1538,18,6,33.3,12,66.7,841,3487,1924,51,34,10,29,7,1057,198
Alessandro Bastoni,ITA,DF,25,Inter,Serie A,25.2,2127,209,769,986,388,35,2127,19,10,52.6,8,42.1,1434,7294,4361,63,66,6,12,10,1612,77
Matteo Darmian,ITA,DF,34,Inter,Serie A,26.7,1586,109,540,766,286,27,1586,15,5,33.3,10,66.7,832,3149,1584,18,15,2,18,1,1082,82
Francesco Acerbi,ITA,DF,36,Inter,Serie A,26.5,1977,219,941,946,98,25,1977,3,2,66.7,1,33.3,1211,5779,3081,21,11,0,4,1,1446,24
