player,nationality,position,age,club,league,minutes_90s,goals,shots,SOTs,SOTs_pct,shots_per90,SOT_per90,goals_per_shot,goals_per_SOT,avg_shot_dist,shots_fk,pens_scored,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
Henrikh Mkhitaryan,ARM,MF,35,Inter,Serie A,30.9,2,39,6,15.4,1.26,0.19,0.05,0.33,19.5,0,0,0,3.6,3.6,0.09,-1.6,-1.6
Yann Sommer,SUI,GK,35,Inter,Serie A,34.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Nicolò Barella,ITA,MF,27,Inter,Serie A,31.6,2,40,12,30.0,1.26,0.38,0.05,0.17,18.2,0,0,0,5.1,5.1,0.13,-3.1,-3.1
Marcus Thuram,FRA,FW,26,Inter,Serie A,29.9,13,77,29,37.7,2.58,0.97,0.17,0.45,11.8,0,0,0,14.3,14.3,0.19,-1.3,-1.3
Hakan Çalhanoğlu,TUR,MF,30,Inter,Serie A,28.4,13,52,13,25.0,1.83,0.46,0.06,0.23,29.5,12,10,10,10.1,2.3,0.04,2.9,0.7
Lautaro Martínez,ARG,FW,26,Inter,Serie A,29.5,24,105,44,41.9,3.56,1.49,0.21,0.5,14.2,0,2,3,17.6,15.3,0.15,6.4,6.7
Federico Dimarco,ITA,DF,26,Inter,Serie A,23.1,5,51,19,37.3,2.21,0.82,0.1,0.26,21.0,3,0,0,2.9,2.7,0.05,2.1,2.3
Alessandro Bastoni,ITA,DF,25,Inter,Serie A,25.2,1,15,6,40.0,0.6,0.24,0.07,0.17,13.3,0,0,0,1.2,1.2,0.08,-0.2,-0.2
Matteo Darmian,ITA,DF,34,Inter,Serie A,26.7,2,10,5,50.0,0.37,0.19,0.2,0.4,15.7,0,0,0,1.2,1.2,0.12,0.8,0.8
Francesco Acerbi,ITA,DF,36,Inter,Serie A,26.5,3,15,6,40.0,0.57,0.23,0.2,0.5,12.0,0,0,0,1.6,1.6,0.11,1.4,1.4
Benjamin Pavard,FRA,DF,28,Inter,Serie A,18.6,0,15,5,33.3,0.81,0.27,0.0,0.0,18.7,0,0,0,0.7,0.7,0.05,-0.7,-0.7
Denzel Dumfries,NED,DF,28,Inter,Serie A,18.2,4,24,6,25.0,1.32,0.33,0.17,0.67,11.8,0,0,0,2.3,2.3,0.09,1.7,1.7
Stefan de Vrij,NED,DF,32,Inter,Serie A,17.6,1,10,3,30.0,0.57,0.17,0.1,0.33,12.3,0,0,0,0.6,0.6,0.06,0.4,0.4
Carlos Augusto,BRA,DF,25,Inter,Serie A,19.2,0,22,6,27.3,1.15,0.31,0.0,0.0,17.1,0,0,0,1.0,1.0,0.05,-1.0,-1.0
Yann Aurel Bisseck,GER,DF,23,Inter,Serie A,10.0,2,12,4,33.3,1.19,0.4,0.17,0.5,12.7,0,0,0,0.9,0.9,0.07,1.1,1.1
